,word,y1,y2
395,sanctiti,,
396,human,,
397,perhap,,
398,abl,,
399,cast,['authority.virtue'],['authority.virtue']
400,tie,,
401,break,,
402,parenthood,,
403,possibl,,
404,anniversari,,
405,roe,,
406,vs,,
407,wade,,
408,decis,,
409,march,,
410,schedul,,
411,place,,
412,mall,,
413,cold,,
414,well,,
415,prime,,
416,minist,,
417,kingdom,,
418,address,,
419,crowd,,
420,resolut,,
421,desk,,
422,fact,,
423,engag,,
424,rather,,
425,shi,,
426,invit,,
427,speak,,
428,ye,,
429,number,,
430,happi,,
431,definit,,
432,later,,
433,mayb,,
434,greater,,
435,extent,,
436,prayer,,
437,differ,,
438,chang,,
439,biden,,
440,harri,,
441,an,,
442,liber,,
443,polici,,
444,threaten,,
445,derail,,
446,safer,,
447,heard,,
448,explos,,
449,tune,,
450,trillion,,
451,count,,
452,bipartisan,,
453,way,,
454,covid,,
455,bill,,
456,pass,,
457,partisan,,
458,basi,,
459,use,,
460,relief,,
461,fund,,
462,massiv,,
463,expans,,
464,propos,,
465,dollar,,
466,expand,,
467,role,,
468,area,,
469,grave,,
470,infrastructur,,
471,advanc,,
472,radic,,
473,climat,,
474,feet,,
475,increas,,
476,stop,,
477,inherit,,
478,construct,,
479,wall,,
480,reduc,,
481,illeg,['authority.vice'],['authority.vice']
482,immigr,,
483,unleash,,
484,crisi,,
485,capitul,,
486,intern,,
487,bureaucrat,,
488,pari,,
489,accord,,
490,form,,
491,commiss,,
492,pack,,
493,suprem,,
494,gun,,
495,control,['authority.virtue'],['authority.virtue']
496,woke,,
497,choru,,
498,accus,,
499,law,"['authority.virtue', 'moral']","['authority.virtue', 'moral']"
500,enforc,,
501,agenc,,
502,system,,
503,racism,,
504,better,,
505,brave,,
506,black,,
507,neighborhood,,
508,adversari,,
509,coast,,
510,racist,,
511,democrat,,
512,sometim,,
513,hand,,
514,far,,
515,top,,
516,everyth,,
517,els,,
518,embrac,,
519,rapidli,,
520,escal,,
521,tradit,['authority.virtue'],['authority.virtue']
522,abolish,,
523,author,,
524,teach,,
525,critic,,
526,race,,
527,theori,,
528,public,,
529,school,,
530,restor,,
531,titl,,
532,enough,,
533,built,,
534,ideal,['moral'],['moral']
535,men,,
536,women,,
537,doubt,,
538,build,,
539,confid,,
540,best,,
541,futur,,
542,washington,,
543,scheme,,
544,socialist,,
545,dream,,
546,implement,,
547,strong,,
548,free,,
549,market,,
550,econom,,
551,judg,,
552,movement,,
553,uphold,,
554,god,,
555,given,,
556,enshrin,,
557,constitut,,
558,amend,,
559,speech,,
560,religion,,
561,second,,
562,keep,,
563,bear,,
564,tenth,,
565,lead,,
566,issu,,
567,import,,
568,spirit,,
569,led,,
570,fight,['care.vice'],['care.vice']
571,parent,,
572,choos,,
573,children,,
574,privat,,
575,parochi,,
576,recogn,,
577,elect,,
578,integr,"['sanctity.virtue', 'moral']","['sanctity.virtue', 'moral']"
579,imper,,
580,reform,,
581,belong,,
582,founder,,
583,craft,,
584,need,,
585,reject,,
586,attempt,,
587,base,,
588,voter,,
589,id,,
590,alway,,
591,thin,,
592,blue,,
593,line,,
594,resourc,,
595,train,,
596,express,,
597,heritag,,
598,steadi,,
599,toward,,
600,perfect,,
601,union,,
602,live,,
603,worship,,
604,dictat,,
605,univers,,
606,cultur,,
607,wherev,,
608,aris,,
609,divid,,
610,neighbor,,
611,lot,,
612,global,,
613,civil,,
614,unrest,,
615,divis,,
616,tragedi,,
617,hope,,
618,pastor,,
619,everybodi,,
620,encourag,,
621,remind,,
622,thing,,
623,seen,,
624,movi,,
625,major,,
626,hous,,
627,confer,,
628,chairman,,
629,felt,,
630,arriv,,
631,media,,
632,align,,
633,believ,,
634,will,,
635,alik,,
636,ralli,,
637,around,,
638,caus,,
639,offer,,
640,choic,,
641,not,,
642,echo,,
643,principl,['moral'],['moral']
644,seat,,
645,repres,,
646,retir,,
647,nanci,,
648,pelosi,,
649,speaker,,
650,coupl,,
651,white,,
652,noth,,
653,sun,,
654,familiar,,
655,cowork,,
656,ran,,
657,center,,
658,optimist,,
659,incumb,,
660,upon,,
661,heed,,
662,th,,
663,old,,
664,fallen,,
665,nomin,,
666,ford,,
667,wave,,
668,stage,,
669,bring,,
670,brief,,
671,remark,,
672,off,,
673,challeng,,
674,quit,,
675,commun,['loyalty.virtue'],['loyalty.virtue']
676,carri,,
677,wait,,
678,forth,,
679,substitut,,
680,lie,,
681,ahead,,
682,ensur,,
683,land,,
684,loyal,"['loyalty.virtue', 'authority.virtue']","['loyalty.virtue', 'authority.virtue']"
685,opposit,,
686,push,,
687,be,,
688,driven,,
689,theme,,
690,dinner,,
691,ground,,
692,convinc,,
693,truli,,
694,sweetest,,
695,reach,,
696,grab,,
697,pray,,
698,endur,,
699,trial,,
700,capac,,
701,ought,,
702,miracl,,
703,democraci,,
704,shore,,
705,done,,
706,yet,,
707,close,,
708,recent,,
709,occas,,
710,even,['fairness.virtue'],['fairness.virtue']
711,seem,,
712,letter,,
713,summer,,
714,florida,,
715,seminari,,
716,gotten,,
717,marri,,
718,ask,,
719,youth,,
720,festiv,,
721,wrote,,
722,young,,
723,marriag,,
724,decid,,
725,spent,,
726,arrang,,
727,band,,
728,wonder,,
729,preacher,,
730,saturday,,
731,rain,,
732,bride,,
733,walk,,
734,through,,
735,hi,,
736,jesu,,
737,christ,,
738,cannot,,
739,write,,
740,tear,,
741,gave,,
742,son,,
743,whoever,,
744,might,,
745,perish,,
746,sens,,
747,intellectu,,
748,broken,,
749,gratitud,,
750,trip,,
751,chanc,,
752,meet,,
753,shook,,
754,vers,,
755,hung,,
756,jeremiah,,
757,harm,['care.vice'],['care.vice']
758,everyon,,
759,involv,,
760,trust,,
761,earth,,
762,die,,
763,woman,,
764,whether,,
765,agre,,
766,money,,
767,somebodi,,
768,smart,,
769,sorri,,
770,germani,,
771,attack,['care.vice'],['care.vice']
772,cancer,,
773,termin,,
774,ill,,
775,catch,,
776,could,,
777,much,,
778,dr,,
779,walenski,,
780,minut,,
781,updat,,
782,compon,,
783,spectrum,,
784,diseas,['sanctity.vice'],['sanctity.vice']
785,slide,,
786,awar,,
787,long,,
788,call,,
789,post,,
790,acut,,
791,sar,,
792,cov,,
793,infect,,
794,refer,,
795,p,,
796,c,,
797,appar,,
798,refresh,,
799,memori,,
800,symptom,,
801,fatigu,,
802,breath,,
803,sleep,,
804,disord,,
805,fever,,
806,gi,,
807,anxieti,,
808,depress,,
809,brain,,
810,difficulti,,
811,concentr,,
812,focus,,
813,viru,,
814,essenti,,
815,bodi,,
816,evolv,,
817,may,,
818,persist,,
